species	gb	bold
Gabrius exspectatus	0	1
Syntomium malkini	1	2
Scaphidium quadrimaculatum	34	37
Stenus koebelei	0	1
Alfocalea montana	0	6
Coryphiomorphus hyperboreus	0	0
Tomoglossa ecora	0	0
Bohemiellina flavipennis	0	1
Sepedophilus immaculatus	11	12
Dochmonota rudiventris	0	6
Gyrophaena neonana	0	0
Oxypoda longicarinata	2	4
Arrhenopeplus tesserula	2	7
Pentanota meuseli	1	1
Aloconota planifrons	0	6
Stenus dissentiens	0	0
Bryoporus testaceus	0	0
Scaphidium piceum	0	1
Astenus longiusculus	0	1
Gyrophaena nanoides	0	3
Euconnus gaudens	0	0
Reichenbachia rubricunda	0	0
Dropephylla clavigera	0	0
Quedius vexans	1	1
Paranopleta inhabilis	1	1
Pselaphaulax dresdensis	0	0
Gabrius laelaps	0	1
Phloeopora nitidiventris	0	0
Megarthrus nitidulus	2	2
Hypopycna rufula	5	6
Quedius sublimbatus	4	9
Gnypeta carbonaria	1	2
Carpelimus obesus	15	17
Medon mcleodi	0	0
Stenus cubensis	0	0
Toxidium compressum	0	0
Phlaeopterus hatchi	0	0
Erichsonius crescenti	0	0
Atheta acutangula	0	0
Gyrophaena egena	0	0
Tachinus minimus	0	3
Atheta oblita	0	8
Lordithon trimaculatus	3	4
Oxypoda pratensicola	0	0
Gyrophaena involuta	0	2
Gyrophaena antennalis	0	2
Lordithon speciosus	2	2
Xantholinus distans	4	0
Stenus frigidus	0	0
Tachinus subterraneus	7	14
Lathrobium fauveli	0	13
Giulianium alaskanum	0	0
Thinobius crinifer	0	0
Tachinus fimbriatus	6	23
Boreostiba websteri	1	2
Cafius aguayoi	0	0
Stenus boops	34	36
Stenus kongsbergensis	0	0
Stenus argus	3	6
Liogluta aloconotoides	0	0
Philonthus fuscus	0	0
Astenus immaculatus	0	0
Atheta pecki	0	0
Micralymma marinum	2	3
Micropeplus laticollis	0	10
Phytosus spinifer	2	2
Eumicrota socia	0	0
Gabrius lysippus	0	5
Stenus confusus	0	0
Mocyta clientula	0	0
Gyrophaena obsoleta	0	0
Oligota muensteri	0	0
Oxypoda yukonensis	1	3
Myllaena hyperborea	4	4
Leptusa elegans	0	1
Stenus caseyi	0	2
Stenus sphaerops	0	0
Atheta annexa	0	30
Liogluta micans	5	6
Philonthus intermedius	4	5
Hypnogyra angularis	16	1
Neobisnius prolixus	0	0
Hapalaraea pygmaea	3	4
Mycetoporus altaicus	3	3
Tyrus semiruber	0	5
Philonthus splendens	15	16
Atheta wisconsinica	0	0
Calodera caseyi	0	0
Amischa normalis	0	0
Thiasophila wockii	0	0
Anaulacaspis nigra	6	6
Euplectus signatus	1	2
Scaphisoma boleti	12	14
Scopaeus ventralis	0	0
Oxypoda islandica	2	2
Amacylophorus pratensis	0	0
Brachygluta sinuata	2	2
Atheta cinnamoptera	0	21
Philonthus poppiusi	0	0
Bobitobus lunulatus	0	0
Euconnus claviger	0	0
Platydracus zonatus	0	3
Neothetalia pallitarsis	6	8
Tachyporus hypnorum	18	20
Amarochara umbrosa	0	0
Tachinus absconditus	0	0
Bledius fergussoni	2	6
Mocyta simulans	0	0
Tachinus stacesmithi	0	0
Boreostiba piligera	0	1
Tachinus proximus	7	9
Olophrum fuscum	2	3
Dadobia immersa	2	3
Boreophilia beringi	0	0
Drusilla canaliculata	29	49
Placusa tachyporoides	41	51
Aleochara gracilicornis	0	3
Myllaena kraatzi	0	0
Scaphisoma inopinatum	0	0
Orobanus simulator	0	0
Aleochara suffusa	1	2
Erichsonius patella	8	81
Stictalia densicollis	0	0
Meotica pallens	5	6
Silusa densa	0	6
Platydracus viridanus	5	12
Stenus fulvoguttatus	0	0
Myrmecocephalus concinnus	16	9
Phlaeopterus houkae	6	7
Diaulota alaskana	0	1
Atheta laevicauda	0	0
Lomechusa emarginata	3	3
Gnypeta canaliculata	0	0
Philonthus binotatus	0	0
Artochia productifrons	0	0
Geodromicus schultzi	0	0
Oxyporus femoralis	0	6
Ocypus fulvipennis	1	1
Metopsia clypeata	6	4
Atheta tmolosensis	0	0
Cypha seminulum	0	0
Quedius persimilis	0	0
Dinarda dentata	3	4
Stictalia notata	0	0
Stenus advena	0	1
Cupila excavata	0	0
Lundbergia trybomi	0	0
Anotylus pumilus	0	0
Placusa incompleta	1	6
Philonthus asper	0	1
Trichiusa hirsuta	0	0
Aleochara spadicea	0	1
Hygropora longicornis	0	0
Amidobia talpa	4	4
Dilacra luteipes	1	0
Philonthus umbrinus	0	0
Bisnius pseudoparcus	0	1
Anotylus fairmairei	0	0
Alisalia elongata	0	0
Mocyta breviuscula	7	41
Geodromicus temporalis	0	0
Carpelimus volans	0	0
Quedius crescenti	0	0
Tmesiphorus costalis	0	0
Atheta borealides	0	0
Acrotona horwoodae	0	2
Alisalia testacea	0	2
Neohypnus melanops	0	0
Quedius fulgidus	5	5
Atheta euryptera	0	9
Euplectus tholini	0	0
Oxyporus mannerheimii	0	3
Quedius boops	6	11
Quedius curtipennis	13	14
Philonthus addendus	9	13
Subhaida rainieri	0	0
Bledius occidentalis	0	0
Atheta atramentaria	14	16
Decarthron formiceti	0	1
Stenus cephallenicus	0	0
Mycetoporus lepidus	3	4
Tinotus trisectus	0	0
Euplectus duponti	0	0
Nanobius serricollis	0	0
Dochmonota clancula	10	12
Ochthephilus biimpressus	1	6
Cilea silphoides	16	19
Dinothenarus badipes	4	12
Bledius procerulus	1	1
Mycetoporus piceolus	0	0
Stenus coriaceus	0	1
Trigonurus dilaticollis	0	2
Bolitochara obliqua	25	16
Tetartopeus rubripennis	0	0
Atheta marcida	0	14
Atheta confusa	0	0
Xylodromus depressus	0	0
Quedius tetricus	1	2
Reichenbachia peregrinator	0	0
Acrotona parvula	16	17
Atheta allocera	8	15
Olophrum interglaciale	0	0
Pycnoglypta heydeni	0	1
Tachinus luridus	31	44
Schistoglossa brunswickensis	0	2
Oxyporus maxillosus	5	20
Eupines impar	0	1
Deinopteroloma subcostatum	17	19
Oxypoda doderoi	0	0
Atheta basicornis	2	2
Bledius mysticus	0	0
Micropeplus latus	0	0
Oxypoda acuminata	17	20
Tachyporus dimorphus	0	0
Stenus excubitor	3	3
Atheta aquatica	1	1
Tyrus mucronatus	13	13
Aleochara sanguinea	0	5
Philonthus puberulus	0	0
Bolitochara mulsanti	13	13
Acylophorus agilis	0	2
Silusa vesperis	0	3
Oxypoda strandi	5	6
Lithocharis ochracea	2	6
Xantholinus laevigatus	5	9
Dinarda hagensii	1	1
Atheta parapicipennis	0	0
Thinonoma atra	11	12
Sepedophilus cinctulus	13	40
Tachinus scapularis	0	0
Platydomene picipes	0	0
Quedius laticollis	0	16
Euplectus confluens	0	0
Gyrophaena sculptipennis	0	0
Quedius pullmani	2	0
Tachyporus rulomus	22	1
Gnypeta brevicornis	0	0
Tachyusa concinna	0	0
Carpelimus nanuloides	0	0
Mycetoporus lucidulus	1	2
Aleochara sulcicollis	3	9
Carpelimus erichsoni	0	1
Proteinus altaicus	0	0
Phloeonomus minimus	5	5
Psammostiba comparabilis	0	0
Philonthus corvinus	2	3
Stenus circularis	1	3
Philonthus coprophilus	1	1
Quedius prostans	0	2
Quedius lundbergi	0	4
Stenus veselovae	0	0
Philonthus davus	0	0
Oxytelus migrator	2	3
Scaphisoma assimile	2	2
Brachycepsis adjutor	0	0
Amischa decipiens	24	56
Atheta atricolor	0	0
Xenodusa cava	0	4
Pseudopsis montoraria	1	2
Anthobium fusculum	0	0
Porrhodites inflatus	0	1
Philonthus dimidiatipennis	0	0
Leptacinus pusillus	7	12
Lophioderus insignis	0	0
Placusa despecta	0	7
Stictalia brevicornis	47	54
Reichenbachia binodifer	2	4
Renardia nigrella	2	3
Stenus niveus	7	13
Brathinus nitidus	0	2
Gyrophaena congrua	2	2
Philonthus cognatus	45	53
Atheta avalon	0	0
Philonthus umbratilis	7	12
Metocalea lindgreni	0	33
Oxypoda formiceticola	2	2
Atheta amicula	4	4
Stenus difficilis	0	1
Heterothops stiglundbergi	4	3
Ocyusa asperula	0	1
Scydmaenus zimmermanni	0	0
Syntomium grahami	1	1
Atheta crassicornis	24	24
Bledius denticollis	0	15
Lathrobium poljarne	0	0
Pselaphus erichsonii	0	0
Atheta subterranea	0	0
Stenus sectator	1	3
Micropeplus dokuchaevi	0	1
Oxypoda tarda	0	0
Stenus rossi	0	4
Batrisodes frontalis	1	2
Oxypoda gatosensis	0	0
Philonthus ephippium	0	0
Philonthus flumineus	0	5
Euconnus salinator	0	0
Atheta terminalis	1	1
Philonthus sanguinolentus	13	15
Carpelimus conjunctus	0	0
Oxypoda abdominalis	1	11
Ontholestes tessellatus	9	12
Anotylus hamatus	0	0
Ocalea latipennis	0	0
Goniusa alperti	0	0
Quedius deperditus	0	0
Stenus fuscipes	5	7
Pycnoglypta aptera	0	1
Philhygra palustris	14	33
Lordithon scutellaris	0	6
Linohesperus borealis	0	0
Gyrophaena flavicornis	0	8
Palaminus luteus	0	0
Stenus kamtschaticus	0	1
Eutheia schaumii	0	0
Platystethus alutaceus	1	1
Heterothops tenuiventris	0	0
Toxidium gammaroides	0	8
Centrotoma lucifuga	0	0
Bisnius tereus	0	0
Phlaeopterus frosti	0	0
Lathrobium elongatum	11	11
Atheta polaris	0	0
Autalia puncticollis	4	4
Clavilispinus prolixus	0	0
Stenus mendosus	0	0
Eucnecosum tenue	0	9
Oxypoda arborea	0	0
Philonthus longicornis	5	11
Micralymma brevilingue	4	4
Arpedium schwarzi	0	0
Eusphalerum farrarae	1	2
Tachinus smetanai	0	1
Neohypnus monstrosus	0	0
Eurodotina inquinula	0	0
Stenus noctivagus	0	0
Liogluta longiuscula	13	14
Scopaeus pusillus	0	0
Atheta hybrida	0	5
Atheta lindrothi	0	0
Holobus vancouveri	0	0
Pella laticollis	0	0
Lathrobium fovulum	15	15
Mycetoporus nigrans	0	25
Euconnus pertinax	0	0
Philonthus cunctans	0	4
Medon shastanicus	0	0
Atheta pennsylvanica	0	14
Hapalaraea hamata	1	4
Quedius bicoloris	1	2
Ctenisodes saginatus	0	0
Autalia rivularis	15	19
Tasgius winkleri	1	3
Heterothops sordidus	0	0
Stenichnus perforatus	0	0
Atrecus americanus	0	5
Lomechusoides teres	0	0
Aleochara pacifica	0	13
Oxypoda lacustris	8	32
Anotylus suspectus	0	0
Ontholestes murinus	15	18
Quedius capucinus	2	8
Atheta excellens	0	0
Trimiomelba dubia	0	0
Thinodromus diffusus	0	0
Neohypnus beckeri	1	3
Micropeplus hopkinsi	0	0
Anthobium reflexicolle	0	6
Atheta hygrobia	3	6
Lordithon fungicola	89	739
Amarochara formicina	0	1
Tachinus apterus	2	2
Philonthus flavibasis	24	51
Gabrius forcipatus	0	0
Lobrathium caseyianum	0	0
Gyrophaena rugipennis	0	0
Baeocera securiforma	0	1
Euaesthetus superlatus	6	6
Boreophilia neoinsecuta	0	0
Anotylus nanus	0	0
Paederus fuscipes	34	108
Pelioptera robustum	0	0
Philonthus quisquiliarius	30	35
Tasgius morsitans	1	3
Atheta dwinensis	0	0
Myllaena minuta	9	5
Mycetoporus smetanai	0	1
Ilyobates bennetti	13	10
Batrisodes furcatus	0	0
Rybaxis clavata	0	1
Aleochara lacertina	0	6
Cafius lithocharinus	0	2
Oxypoda serpentata	0	0
Gabrius dufbergi	0	0
Habrocerus magnus	0	1
Acidota cruentata	0	0
Stenus immarginatus	0	10
Psammostiba kenaii	0	2
Bolitochara lucida	22	18
Silusa rubiginosa	5	5
Tachinus maculicollis	6	11
Liogluta wickhami	0	0
Bledius rotundicollis	0	1
Brachyusa americana	0	0
Renardia canadensis	0	0
Scopaeus sulcicollis	0	0
Pella caliginosa	3	3
Stictocranius puncticeps	0	1
Microedus laticollis	1	1
Agaricomorpha websteri	0	1
Placusa adscita	0	0
Aleochara tristis	2	5
Atheta hansseni	0	5
Brachygluta helferi	2	5
Stenus pubescens	9	8
Oxypoda glenorae	0	0
Bledius opacifrons	0	0
Bledius gravidus	2	7
Dropephylla linearis	4	5
Schistoglossa carexiana	0	0
Omalium riparium	5	6
Quedius campbelli	0	1
Boreostiba sibirica	86	102
Atheta ehnstroemi	0	0
Eusphalerum primulae	5	5
Quedionuchus plagiatus	36	44
Tachinus lignorum	15	15
Lordithon idahoae	0	0
Eleusis pallida	0	2
Sonoma margemina	2	3
Anotylus tetracarinatus	46	50
Oxypoda leechi	0	0
Olophrum arcanum	0	0
Myrmecopora vaga	0	0
Atheta pseudocrenuliventris	3	10
Lordithon bicolor	0	0
Megarthrus smetanai	0	0
Oxypoda togata	2	4
Myllaena fenyesi	0	0
Quedius suturalis	8	10
Cypha suecica	0	0
Siagonium stacesmithi	0	2
Tachinus marginellus	22	24
Quedius densiventris	0	1
Stenus shilovi	0	0
Dinaraea borealis	3	9
Pella gesneri	1	5
Planeustomus palpalis	10	10
Tachyporus scitulus	8	8
Baeocera falsata	0	6
Atheta elongatula	16	19
Euconnus tenebrosus	0	0
Ischnosoma pictum	4	11
Coryphium angusticolle	8	10
Medon americanus	0	6
Tachinus corticinus	27	41
Alisalia minuta	0	2
Tasgius globulifer	0	4
Cafius xantholoma	13	14
Brachycepsis pacifica	0	0
Bryophacis rugipennis	0	0
Reichenbachia divergens	0	0
Philonthus pettiti	0	0
Atheta pacifica	0	0
Gnypeta sellmani	5	5
Quedius maurorufus	7	8
Stenus carbonarius	4	6
Proteinus parvulus	0	12
Phloeocharis subtilissima	25	15
Tinotus caviceps	0	0
Bryophacis rufus ssp. Punctipennis	0	0
Quedius frater	0	0
Lobrathium longiusculum	0	0
Philonthus hepaticus	0	2
Myllaena insomnis	0	4
Stenus aereus	0	0
Tachyporus pulchellus	0	5
Scaphidium quadriguttatum	1	5
Anotylus petzi	0	0
Aloconota languida	0	2
Stenus bilentigatus	0	0
Lathrobium flavipes	0	0
Anthophagus alpinus	14	20
Quedius pseudoumbrinus	0	0
Euconnus semiruber	0	0
Tachinus laticollis	20	22
Dianous chalybaeus	0	1
Bryophacis rubescens	0	2
Stictalia carlottae	0	0
Bisnius picicornis	1	3
Reichenbachia subtilis	0	0
Philonthus laminatus	6	7
Quedius adnexus	0	0
Philonthus busiris	0	2
Ceophyllus monilis	0	1
Gennadota canadensis	1	2
Quedius labradorensis	13	15
Micropeplus punctatus	3	3
Mycetoporus triangulatus	0	0
Stenus sordidus	0	1
Stenus fossulatus	0	9
Gyrophaena polita	8	8
Erichsonius nanus	2	10
Atheta ripicola	0	1
Atheta nesslingi	0	4
Rybaxis varicornis	0	1
Philonthus lomatus	4	10
Pseudopsis obliterata	0	0
Gyrohypnus punctulatus	4	6
Stethusa spuriella	2	3
Calodera rubens	0	0
Eudectus giraudi	0	0
Atheta aemula	0	5
Aleochara lygaea	0	0
Atheta smetanai	0	2
Bledius suturalis	0	0
Stenichnus scutellaris	57	68
Anatheta surrufa	0	0
Acylophorus flavicollis	0	3
Xenodusa reflexa	0	7
Stenus canaliculatus	13	18
Acrulia tumidula	0	0
Pseudomedon thoracicus	0	0
Omalium laticolle	0	0
Silusa langori	0	0
Atheta obtusangula	0	2
Philonthus distans	0	0
Atheta atomaria	0	0
Aleochara peeziana	0	0
Quedius picipes	3	4
Linohesperus cuspifer	0	0
Nevraphes elongatulus	0	0
Philonthus virgo	0	0
Stenus quebecensis	0	5
Stenus latipennis	0	0
Megarthrus bellevoyei	0	1
Neothetalia pulcherrima	0	0
Gyrohypnus atratus	10	10
Phytosus balticus	0	1
Bibloplectus ambiguus	0	12
Gyrophaena minima	4	19
Phloeopora concolor	1	1
Gabrius microphthalmus	5	26
Gyrophaena munsteri	9	9
Gyrophaena stroheckeri	0	0
Ischnosoma fimbriatum	4	9
Gnypeta caerulea	5	7
Bryoporus cernuus	4	4
Heterothops pusio	1	5
Philhygra pseudoboreostiba	0	0
Atheta brunswickensis	2	30
Acidota subcarinata	3	19
Tachinus vergatus	0	4
Reichenbachia propinqua	0	4
Baeocera pallida	0	0
Quedius alesi	0	0
Philonthus laevicollis	1	2
Philonthus rotundicollis	14	15
Oxypoda lugubris	0	0
Parascydmus corpusculus	0	0
Atheta pseudosubtilis	0	4
Neohypnus obscurus	0	3
Gyrophaena affinis	7	29
Stenus scrutator	0	0
Gabrius bishopi	2	2
Tetartopeus nitidulus	0	0
Bisnius scribae	0	0
Stenus plicipennis	0	4
Bryophacis maklini	3	3
Eutheia plicata	0	0
Gyrohypnus campbelli	0	0
Philonthus pseudolodes	0	0
Myllaena gracilis	4	4
Medon convergens	0	0
Ochthephilus andalusiacus	0	0
Atheta sparreschneideri	3	3
Stenus atratulus	2	3
Quedius canadensis	1	15
Rybaxis conjuncta	0	1
Tetartopeus rufonitidus	0	0
Oxypoda hansseni	0	0
Bledius albonotatus	0	1
Euaesthetus ruficapillus	23	25
Stenus egenulus	0	3
Bisnius bion	0	0
Phanerota fasciata	0	6
Euplectus mutator	3	3
Microedus austinianus	1	8
Aleochara lustrica	0	2
Thiasophila inquilina	0	0
Euaesthetus duplex	0	0
Quedius centrasiaticus	0	0
Amischa praelonga	0	0
Bolitochara carlottae	0	0
Lypoglossa manitobae	0	0
Zyras planifer	0	0
Medon rufiventris	0	0
Oxypoda bicolor	0	0
Plataraea nigrifrons	0	0
Eusphalerum klimaszewskii	0	0
Stenus oscillator	0	0
Scaphisoma convexum	9	22
Bledius pallipes	1	2
Atheta melanocera	6	6
Eumicrota corruscula	0	0
Hydrosmecta delicatula	0	0
Euplectus kirbii	6	6
Pyroglossa opaca	0	0
Lordithon anticus	12	19
Gyrophaena chippewa	0	0
Lordithon arcuatus	0	0
Megarthrus arcuatus	0	1
Bryophacis smetanai	0	12
Philhygra junii	0	4
Aloconota gregaria	16	26
Mycetoporus consors	0	5
Atrecus longiceps	0	5
Tetartopeus tetricus	0	0
Claviger testaceus	3	4
Gabrius exiguus	0	0
Tachyusa constricta	6	6
Mniusa grandiceps	0	0
Olophrum obtectum	8	10
Aleochara speculicollis	0	0
Atheta caribou	0	13
Carpelimus impressus	7	8
Dalotia coriaria	4	8
Omalium oxyacanthae	8	8
Scaphisoma agaricinum	20	23
Cafius sulcicollis	0	9
Stenus humilis	17	19
Leptusa canonica	0	2
Eusphalerum tenenbaumi	0	0
Atheta parca	0	0
Cafius seminitens	0	5
Lathrobium impressum	12	13
Dianous nitidulus	0	1
Cupila clavicornis	4	5
Atheta lebedevoensis	0	0
Atheta cryptica	0	12
Gabrius picipennis	3	12
Pelioptera americanum	0	0
Philonthus semiruber	0	0
Gymnusa brevicollis	7	7
Quedius fuliginosus	14	16
Lathrobium nigrolineum	0	0
Earota dentata	34	45
Stenichnus godarti	0	14
Stenus gallicus	1	1
Atheta sodalis	26	17
Phyllodrepa salicis	0	0
Philonthus varro	0	0
Trimioplectus obsoletus	0	1
Mycetoporus bipunctatus	0	2
Meotica exilis	8	10
Bledius strenuus	0	3
Euconnus ludificans	0	0
Anotylus rugosoides	0	0
Mocyta amblystegii	0	10
Scydmaenus hellwigii	4	4
Stenus auriger	0	0
Geodromicus plagiatus	7	14
Stenus croceatus	0	0
Anotylus gibbulus	0	0
Aleochara lepidoptera	0	0
Tachinus rufitarsis	0	0
Lucifotychus cognatus	3	6
Euaesthetus bipunctatus	3	4
Subhaida monticola	0	0
Tetartopeus zetterstedti	4	4
Bisnius epeus	0	0
Gymnusa grandiceps	1	7
Ocypus ophthalmicus	12	14
Stenus proditor	1	3
Lathrobium pallidipenne	1	1
Megarthrus strandi	0	0
Phyllodrepa punctiventris	0	0
Stenus assequens	1	4
Bisnius hesperidum	0	0
Atheta fanatica	2	8
Atheta indubia	0	0
Lordithon obsoletus	0	0
Quedius mordax	1	2
Atheta ravilla	0	13
Ocypus picipennis	1	1
Cephennium gallicum	11	12
Ephelinus notatus	0	0
Rabigus tenuis	2	2
Atheta prudhoensis	3	62
Batrisodes venustus	0	0
Gymnusa absens	0	0
Medon vancouveri	0	0
Atheta ventricosa	4	41
Quedius levicollis	1	2
Omalium curtipenne	0	0
Brachygluta haematica	0	0
Dropephylla vilis	0	1
Gyrohypnus fracticornis	9	17
Tachyporus nanus	0	0
Aleochara lanuginosa	12	13
Oxypoda lentula	1	2
Aloconota subgrandis	0	1
Euconnus debilitans	0	0
Euaesthetus ruficollis	0	0
Actium barri	1	2
Ochthephilum detectum	0	0
Lordithon oregonus	0	0
Aleochara haematoptera	0	1
Tachinus debilis	0	0
Phloeopora testacea	5	6
Sepedophilus bisignatus	0	1
Heterothops carbonatus	0	0
Pontomalota opaca	4	6
Quedius velox	62	65
Oxypoda ferruginea	0	0
Philonthus couleensis	0	5
Microedus porterae	0	0
Tachinus angustatus	7	7
Atheta klagesi	4	13
Trichiusa pseudopostica	0	1
Omalium rivulare	59	54
Erichsonius brachycephalus	0	0
Rugilus biarmatus	0	0
Tetartopeus baicalicus	0	0
Megastilicus formicarius	0	0
Lordithon trinotatus	16	20
Bryophacis punctatissimus	0	1
Quedius fumatus	11	10
Atheta irrupta	2	12
Platydracus exulans	0	0
Schistoglossa pseudocampbelli	0	1
Liogluta alpestris	10	8
Philonthus corruscus	8	8
Emmelostiba microptera	2	4
Stenus pallitarsis	2	6
Pella humeralis	9	9
Tachyporus duplex	0	0
Schistoglossa curtipennis	2	3
Philonthus sericinus	0	5
Hydrosmecta tenella	0	0
Oligota granaria	4	4
Sunius confluentus	0	16
Phyllodrepa puberula	1	2
Stenus juno	23	27
Euconnus rasus	0	0
Tachyporus transversalis	6	10
Plectophloeus nubigena	14	14
Rugilus erichsonii	0	13
Pycnoplectus interruptus	0	0
Olophrum rotundicolle	11	19
Stenus rigidus	0	2
Aleochara funebris	2	1
Olophrum latum	19	23
Neothetalia smetanai	0	0
Hygropora cunctans	1	1
Tachinus crotchii	0	1
Heterothops asperatus	0	0
Gabrius vibius	0	0
Thecturota tenuissima	0	5
Diaulota aokii	2	3
Paraleptonia pacei	0	0
Acrolocha helferi	0	0
Batrisodes lineaticollis	0	9
Quedius dilatatus	3	3
Quedius nigriceps	0	0
Stenus pudicus	7	8
Reichenbachia borealis	1	2
Atheta altaica	0	27
Atheta trinotata	0	2
